reference_locus,old_locus_tag,gene,annotation,strand,gene_start,gene_end
MIDG2331_RS07280,MIDG2331_01489,folB,dihydroneopterin aldolase,+,1578050,1578403
MIDG2331_RS07285,MIDG2331_01490,cdd,cytidine deaminase,+,1578512,1579405
MIDG2331_RS07290,MIDG2331_01491,ftsX,permease-like cell division protein FtsX,-,1579452,1580390
MIDG2331_RS07295,MIDG2331_01492,ftsE,cell division ATP-binding protein FtsE,-,1580400,1581053
MIDG2331_RS07300,MIDG2331_01493,ftsY,signal recognition particle-docking protein FtsY,-,1581144,1582877
MIDG2331_RS07305,MIDG2331_01494,rsmD,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,+,1582955,1583548
MIDG2331_RS07310,MIDG2331_01495,,HI1450 family dsDNA-mimic protein,+,1583613,1583924
MIDG2331_RS07315,MIDG2331_01496,hpaC,"4-hydroxyphenylacetate 3-monooxygenase, reductase component",+,1583940,1584452
MIDG2331_RS07320,MIDG2331_01497,tehB,SAM-dependent methyltransferase TehB,+,1584567,1585439
MIDG2331_RS07325,MIDG2331_01498,artM,arginine ABC transporter permease ArtM,-,1585567,1586250
MIDG2331_RS07330,MIDG2331_01499,artQ,arginine ABC transporter permease ArtQ,-,1586250,1586921
MIDG2331_RS07335,MIDG2331_01500,,transporter substrate-binding domain-containing protein,-,1586927,1587646
MIDG2331_RS07340,MIDG2331_01501,artP,arginine ABC transporter ATP-binding protein ArtP,-,1587666,1588400
MIDG2331_RS07345,MIDG2331_01502,,YbhB/YbcL family Raf kinase inhibitor-like protein,-,1588625,1589122
MIDG2331_RS07350,MIDG2331_01503,,calcium/sodium antiporter,+,1589195,1590157
MIDG2331_RS07355,MIDG2331_01504,,helix-turn-helix domain-containing protein,-,1590235,1590528
MIDG2331_RS07360,MIDG2331_01505,,type II toxin-antitoxin system RelE/ParE family toxin,-,1590509,1590880
MIDG2331_RS07365,MIDG2331_01506,,protein-disulfide reductase DsbD,+,1591074,1592825
MIDG2331_RS07370,MIDG2331_01507,,elongation factor P hydroxylase,+,1592883,1593452
MIDG2331_RS07375,MIDG2331_01508,rsmI,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,-,1593496,1594350
MIDG2331_RS07380,MIDG2331_01509,,penicillin-binding protein activator,+,1594423,1596171
MIDG2331_RS07385,MIDG2331_01510,,YraN family protein,+,1596146,1596517
MIDG2331_RS07390,MIDG2331_01511,,D-sedoheptulose-7-phosphate isomerase,+,1596526,1597104
MIDG2331_RS07395,MIDG2331_01512,dolP,division/outer membrane stress-associated lipid-binding lipoprotein,+,1597126,1597713
MIDG2331_RS07400,MIDG2331_01514,mltF,membrane-bound lytic murein transglycosylase MltF,-,1597925,1599376
MIDG2331_RS07420,MIDG2331_01518,,heme lyase CcmF/NrfE family subunit,-,1600163,1602112
MIDG2331_RS07425,MIDG2331_01519,ccmE,cytochrome c maturation protein CcmE,-,1602112,1602657
MIDG2331_RS07430,MIDG2331_01520,ccmD,heme exporter protein CcmD,-,1602841,1603038
MIDG2331_RS07435,MIDG2331_01521,,heme ABC transporter permease,-,1603051,1603782
MIDG2331_RS07440,MIDG2331_01522,ccmB,heme exporter protein CcmB,-,1603833,1604495
MIDG2331_RS07445,MIDG2331_01523,ccmA,cytochrome c biogenesis heme-transporting ATPase CcmA,-,1604492,1605127
MIDG2331_RS07450,MIDG2331_01524,hda,DnaA regulatory inactivator Hda,-,1605268,1605978
MIDG2331_RS07480,MIDG2331_01530,,DUF5718 family protein,+,1611972,1612805
MIDG2331_RS07485,MIDG2331_01531,,oxaloacetate decarboxylase subunit gamma,+,1612987,1613244
MIDG2331_RS07490,MIDG2331_01532,oadA,sodium-extruding oxaloacetate decarboxylase subunit alpha,+,1613260,1615062
MIDG2331_RS07495,MIDG2331_01533,,sodium ion-translocating decarboxylase subunit beta,+,1615079,1616383
MIDG2331_RS07500,MIDG2331_01534,,zinc ribbon domain-containing protein YjdM,+,1616516,1616839
MIDG2331_RS07505,MIDG2331_01535,,cytochrome c peroxidase,+,1617011,1618411
MIDG2331_RS07510,MIDG2331_01536,yggU,DUF167 family protein YggU,-,1618477,1618770
MIDG2331_RS07515,MIDG2331_01537,,YggT family protein,-,1618772,1619305
MIDG2331_RS07520,MIDG2331_01538,,YggL family protein,-,1619427,1619768
MIDG2331_RS07525,MIDG2331_01539,trmB,tRNA (guanosine(46)-N7)-methyltransferase TrmB,-,1619824,1620576
MIDG2331_RS07530,MIDG2331_01540,,beta-ketoacyl-ACP synthase III,-,1620624,1621574
MIDG2331_RS07535,MIDG2331_01541,plsX,phosphate acyltransferase PlsX,-,1621586,1622620
MIDG2331_RS07540,MIDG2331_01542,rpmF,50S ribosomal protein L32,-,1622645,1622815
MIDG2331_RS07545,MIDG2331_01543,yceD,23S rRNA accumulation protein YceD,-,1622833,1623357
MIDG2331_RS07550,MIDG2331_01544,,cytochrome C assembly family protein,+,1623577,1624368
MIDG2331_RS07555,MIDG2331_01545,,HlyC/CorC family transporter,+,1624464,1625726
MIDG2331_RS07560,MIDG2331_01546,,sodium-dependent transporter,+,1626105,1627619
MIDG2331_RS07565,MIDG2331_01548,manX,PTS mannose transporter subunit IIAB,+,1628007,1628978
MIDG2331_RS07570,MIDG2331_01549,,PTS mannose/fructose/sorbose transporter subunit IIC,+,1628991,1629791
MIDG2331_RS07575,MIDG2331_01550,,PTS mannose transporter subunit IID,+,1629805,1630641
MIDG2331_RS07580,MIDG2331_01551,,DUF986 family protein,+,1630740,1631198
MIDG2331_RS07585,MIDG2331_01552,manA,"mannose-6-phosphate isomerase, class I",+,1631195,1632400
MIDG2331_RS07590,MIDG2331_01553,,hypothetical protein,+,1632462,1632977
MIDG2331_RS07595,MIDG2331_01554,apxID,RTX toxin T1SS ABC transporter adaptor subunit ApxID,-,1633059,1634495
MIDG2331_RS07600,MIDG2331_01555,apxIB,RTX toxin T1SS ABC transporter permease/ATPase subunit ApxIB,-,1634504,1636627
MIDG2331_RS07605,MIDG2331_01556,,hypothetical protein,-,1636708,1637010
MIDG2331_RS07610,MIDG2331_01557,,ABC transporter substrate-binding protein,+,1637482,1638522
MIDG2331_RS07615,MIDG2331_01558,,ABC transporter permease,+,1638628,1640691
MIDG2331_RS07620,MIDG2331_01559,fbpC,ferric ABC transporter ATP-binding protein,+,1640738,1641784
MIDG2331_RS07625,MIDG2331_01560,mpl,UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl- meso-diaminopimelate ligase,-,1641875,1643239
MIDG2331_RS07630,MIDG2331_01561,fbp,class 1 fructose-bisphosphatase,+,1643362,1644366
MIDG2331_RS07635,MIDG2331_01562,,"IS256 family transposase, variant Zn-binding type",-,1644522,1645085
MIDG2331_RS07640,MIDG2331_01563,tuf,elongation factor Tu,-,1645588,1646772
MIDG2331_RS07645,MIDG2331_01564,fusA,elongation factor G,-,1646834,1648939
MIDG2331_RS07650,MIDG2331_01565,rpsG,30S ribosomal protein S7,-,1649039,1649509
MIDG2331_RS07655,MIDG2331_01566,rpsL,30S ribosomal protein S12,-,1649646,1650020
MIDG2331_RS07660,MIDG2331_01567,rfaC,lipopolysaccharide heptosyltransferase RfaC,-,1650142,1651101
MIDG2331_RS07665,MIDG2331_01568,waaF,lipopolysaccharide heptosyltransferase II,-,1651176,1652213
MIDG2331_RS07670,MIDG2331_01569,,MliC family protein,-,1652295,1652699
MIDG2331_RS07675,MIDG2331_01570,,LysM-like peptidoglycan-binding domain-containing protein,-,1652821,1654212
MIDG2331_RS07680,MIDG2331_01571,,ComEA family DNA-binding protein,+,1654513,1654857
MIDG2331_RS07685,MIDG2331_01572,asd,archaetidylserine decarboxylase,+,1655008,1655898
MIDG2331_RS07690,MIDG2331_01573,hsdR,EcoAI/FtnUII family type I restriction enzme subunit R,+,1656015,1658378
MIDG2331_RS07695,MIDG2331_01574,,class I SAM-dependent DNA methyltransferase,+,1658462,1659931
MIDG2331_RS07700,MIDG2331_01575,,virulence RhuM family protein,+,1659940,1660935
MIDG2331_RS07705,MIDG2331_01576,,restriction endonuclease subunit S,+,1660932,1662401
MIDG2331_RS07710,MIDG2331_01577,,tyrosine-type recombinase/integrase,+,1662453,1663256
MIDG2331_RS07715,MIDG2331_01578,,restriction endonuclease subunit S,-,1663296,1664579
MIDG2331_RS07720,MIDG2331_01579,gshAB,bifunctional glutamate--cysteine ligase GshA/glutathione synthetase GshB,+,1664766,1667039
MIDG2331_RS07725,MIDG2331_01580,,MerR family transcriptional regulator,-,1667131,1667751
MIDG2331_RS07730,MIDG2331_01581,,aromatic amino acid transporter,+,1667951,1669153
MIDG2331_RS07735,MIDG2331_01582,,YfcZ/YiiS family protein,-,1669217,1669510
MIDG2331_RS07740,MIDG2331_01583,,aldo/keto reductase,+,1669650,1670552
MIDG2331_RS07745,MIDG2331_01584,,AMP-dependent synthetase/ligase,-,1670615,1672390
MIDG2331_RS07750,MIDG2331_01585,mqo,malate dehydrogenase (quinone),-,1672571,1674046
MIDG2331_RS07755,MIDG2331_01586,,hypothetical protein,-,1674154,1674567
MIDG2331_RS07760,MIDG2331_01587,,glycine zipper 2TM domain-containing protein,+,1674787,1675128
MIDG2331_RS07765,MIDG2331_01588,,PACE efflux transporter,+,1675170,1675595
MIDG2331_RS07770,MIDG2331_01589,mglC,galactose/methyl galactoside ABC transporter permease MglC,-,1675666,1676676
MIDG2331_RS07775,MIDG2331_01590,mglA,galactose/methyl galactoside ABC transporter ATP-binding protein MglA,-,1676693,1678192
MIDG2331_RS07780,MIDG2331_01591,mglB,galactose/glucose ABC transporter substrate-binding protein MglB,-,1678255,1679247
MIDG2331_RS07785,MIDG2331_01592,ompA,porin OmpA,-,1679501,1680607
MIDG2331_RS07790,MIDG2331_01593,ydiJ,D-2-hydroxyglutarate dehydrogenase YdiJ,+,1681035,1684124
MIDG2331_RS07795,MIDG2331_01594,,hotdog fold thioesterase,+,1684257,1684682
MIDG2331_RS07800,MIDG2331_01595,yidC,membrane protein insertase YidC,+,1684835,1686463
MIDG2331_RS07805,MIDG2331_01596,,cytochrome c3 family protein,-,1686748,1687362
MIDG2331_RS07810,MIDG2331_01597,,nitrate reductase cytochrome c-type subunit,-,1687374,1687796
MIDG2331_RS07815,MIDG2331_01598,napH,quinol dehydrogenase ferredoxin subunit NapH,-,1687815,1688708
MIDG2331_RS07820,MIDG2331_01599,napG,ferredoxin-type protein NapG,-,1688708,1689613
MIDG2331_RS07825,MIDG2331_01600,napA,nitrate reductase catalytic subunit NapA,-,1689748,1692231
MIDG2331_RS07830,MIDG2331_01601,,chaperone NapD,-,1692263,1692532
MIDG2331_RS07835,MIDG2331_01602,napF,ferredoxin-type protein NapF,-,1692535,1693065
MIDG2331_RS07840,MIDG2331_01603,,NAD(P)H-dependent oxidoreductase,+,1693264,1693839
MIDG2331_RS07855,MIDG2331_01606,,hypothetical protein,-,1695412,1695924
MIDG2331_RS07860,MIDG2331_01607,rne,ribonuclease E,-,1696085,1699072
MIDG2331_RS07865,MIDG2331_01608,,RsiV family protein,+,1699473,1700549
MIDG2331_RS07870,MIDG2331_01609,,isoprenylcysteine carboxyl methyltransferase family protein,-,1700619,1701140
MIDG2331_RS07875,MIDG2331_01610,ubiD,4-hydroxy-3-polyprenylbenzoate decarboxylase,-,1701290,1702753
MIDG2331_RS07880,MIDG2331_01611,znuA,zinc ABC transporter substrate-binding protein ZnuA,+,1702899,1703876
MIDG2331_RS07885,MIDG2331_01612,,"IS256 family transposase, variant Zn-binding type",-,1703975,1704538
MIDG2331_RS07890,MIDG2331_01613,,glutathione peroxidase,-,1704978,1705712
MIDG2331_RS07895,MIDG2331_01614,oxyR,DNA-binding transcriptional regulator OxyR,+,1705837,1706730
MIDG2331_RS07900,MIDG2331_01615,fabR,HTH-type transcriptional repressor FabR,+,1706723,1707355
MIDG2331_RS07905,MIDG2331_01616,,protein disulfide oxidoreductase,+,1707355,1707870
MIDG2331_RS07910,MIDG2331_01617,rnr,ribonuclease R,+,1707938,1710292
MIDG2331_RS07915,MIDG2331_01618,,hypothetical protein,+,1710405,1710869
MIDG2331_RS07920,MIDG2331_01619,tyrS,tyrosine--tRNA ligase,+,1711215,1712405
MIDG2331_RS07925,MIDG2331_01620,rpoD,RNA polymerase sigma factor RpoD,-,1712558,1714420
MIDG2331_RS07930,MIDG2331_01621,dnaG,DNA primase,-,1714522,1716264
MIDG2331_RS07935,MIDG2331_01622,rpsU,30S ribosomal protein S21,-,1716441,1716656
MIDG2331_RS07940,MIDG2331_01623,rfbB,"dTDP-glucose 4,6-dehydratase",-,1716894,1717967
MIDG2331_RS07945,,,acyltransferase,-,1717981,1718958
MIDG2331_RS07950,MIDG2331_01625,,acyltransferase family protein,-,1719045,1719392
MIDG2331_RS07955,MIDG2331_01626,,acyltransferase family protein,-,1719625,1720104
MIDG2331_RS07960,MIDG2331_01627,,sugar transferase,-,1720108,1721418
MIDG2331_RS07965,MIDG2331_01628,glf,UDP-galactopyranose mutase,-,1721436,1722533
MIDG2331_RS07970,MIDG2331_01629,,flippase,-,1722576,1724027
MIDG2331_RS07975,MIDG2331_01630,,O-antigen polymerase,-,1724024,1725355
MIDG2331_RS07980,MIDG2331_01631,,sugar transferase,-,1725358,1726407
MIDG2331_RS07985,MIDG2331_01632,,glycosyltransferase family 2 protein,-,1726424,1727476
MIDG2331_RS07990,MIDG2331_01633,,glycosyltransferase,-,1727485,1728552
MIDG2331_RS07995,MIDG2331_01634,,DUF4422 domain-containing protein,-,1728573,1729376
MIDG2331_RS08000,MIDG2331_01635,,LPS O-antigen chain length determinant protein WzzB,-,1729379,1730491
MIDG2331_RS08005,MIDG2331_01636,erpA,iron-sulfur cluster insertion protein ErpA,+,1730637,1730978
MIDG2331_RS08010,MIDG2331_01637,,"1,4-dihydroxy-2-naphthoate polyprenyltransferase",-,1731056,1731964
MIDG2331_RS08015,MIDG2331_01638,tsaA,tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO,+,1732061,1732819
MIDG2331_RS08020,MIDG2331_01639,,SIMPL domain-containing protein,+,1732861,1733577
MIDG2331_RS08025,MIDG2331_01640,aqpZ,aquaporin Z,+,1733723,1734409
MIDG2331_RS08030,MIDG2331_01642,slyD,peptidylprolyl isomerase,+,1734758,1735351
MIDG2331_RS08035,MIDG2331_01643,ilvA,"threonine ammonia-lyase, biosynthetic",+,1735477,1737003
MIDG2331_RS08040,MIDG2331_01644,glmM,phosphoglucosamine mutase,+,1737075,1738409
MIDG2331_RS08045,MIDG2331_01645,rpiA,ribose-5-phosphate isomerase RpiA,+,1738556,1739215
MIDG2331_RS08050,MIDG2331_01646,serA,phosphoglycerate dehydrogenase,+,1739359,1740588
MIDG2331_RS08055,MIDG2331_01647,,"IS256 family transposase, variant Zn-binding type",+,1741087,1741650
MIDG2331_RS08060,MIDG2331_01648,,"IS256 family transposase, variant Zn-binding type",-,1741884,1742777
MIDG2331_RS08065,MIDG2331_01649,pdxY,pyridoxal kinase PdxY,-,1742920,1743780
MIDG2331_RS08075,MIDG2331_01651,accA,acetyl-CoA carboxylase carboxyl transferase subunit alpha,-,1744084,1745037
MIDG2331_RS08080,MIDG2331_01652,,multicopper oxidase domain-containing protein,-,1745154,1746566
MIDG2331_RS08085,MIDG2331_01653,,1-acylglycerol-3-phosphate O-acyltransferase,-,1746569,1747315
MIDG2331_RS08090,MIDG2331_01654,tpx,thiol peroxidase,+,1747458,1747958
MIDG2331_RS08095,MIDG2331_01655,mnmE,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,+,1748081,1749439
MIDG2331_RS08100,MIDG2331_01656,,PFL family protein,-,1749547,1750902
MIDG2331_RS08105,MIDG2331_01657,,ACT domain-containing protein,-,1750915,1751187
MIDG2331_RS08110,MIDG2331_01658,,pirin family protein,-,1751325,1752014
MIDG2331_RS08115,MIDG2331_01659,,Dps family protein,+,1752330,1752899
MIDG2331_RS08120,MIDG2331_01660,,helix-turn-helix domain-containing protein,+,1753132,1753434
MIDG2331_RS08125,MIDG2331_01661,,patatin-like phospholipase family protein,+,1753581,1754945
MIDG2331_RS08130,MIDG2331_01662,yccS,YccS family putative transporter,-,1755013,1757187
MIDG2331_RS08135,MIDG2331_01663,mgsA,methylglyoxal synthase,-,1757269,1757727
MIDG2331_RS08140,MIDG2331_01664,thrC,threonine synthase,+,1757860,1759140
MIDG2331_RS08155,MIDG2331_01667,,valine--tRNA ligase,-,1760684,1763548
MIDG2331_RS08160,MIDG2331_01668,,phospholipase D-like domain-containing protein,-,1763564,1764241
MIDG2331_RS08170,MIDG2331_01670,,UPF0149 family protein,-,1765270,1765848
MIDG2331_RS08175,MIDG2331_01671,,GNAT family N-acetyltransferase,-,1765850,1766281
MIDG2331_RS08180,MIDG2331_01672,,DNA polymerase III subunit chi,-,1766299,1766736
MIDG2331_RS08185,MIDG2331_01673,lysM,peptidoglycan-binding protein LysM,+,1766988,1767431
MIDG2331_RS08190,MIDG2331_01674,tig,trigger factor,+,1767633,1768934
MIDG2331_RS08195,MIDG2331_01675,,rhodanese-like domain-containing protein,+,1769067,1769516
MIDG2331_RS08200,MIDG2331_01676,secB,protein-export chaperone SecB,+,1769541,1770041
MIDG2331_RS08205,MIDG2331_01677,gpsA,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,+,1770226,1771236
MIDG2331_RS08210,MIDG2331_01678,cysE,serine O-acetyltransferase,+,1771248,1772063
MIDG2331_RS08215,MIDG2331_01679,tuf,elongation factor Tu,-,1772258,1773442
MIDG2331_RS08240,MIDG2331_01684,coaA,type I pantothenate kinase,+,1774196,1775146
MIDG2331_RS08245,MIDG2331_01685,,DsbE family thiol:disulfide interchange protein,+,1775281,1775823
MIDG2331_RS08250,MIDG2331_01686,,cytochrome c-type biogenesis protein,+,1775804,1776295
MIDG2331_RS08255,MIDG2331_01687,ccmI,c-type cytochrome biogenesis protein CcmI,+,1776295,1777209
MIDG2331_RS08260,MIDG2331_01688,mog,molybdopterin adenylyltransferase,+,1777281,1777865
MIDG2331_RS08265,MIDG2331_01689,glnB,nitrogen regulatory protein P-II,+,1777976,1778314
MIDG2331_RS08270,MIDG2331_01690,lspA,signal peptidase II,+,1778393,1778875
MIDG2331_RS08275,MIDG2331_01691,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,+,1778876,1779820
MIDG2331_RS08280,MIDG2331_01692,,FAD assembly factor SdhE,+,1779820,1780068
MIDG2331_RS08285,MIDG2331_01693,,NAD(P)-dependent oxidoreductase,-,1780137,1780736
MIDG2331_RS08290,MIDG2331_01694,hutW,heme anaerobic degradation radical SAM methyltransferase ChuW/HutW,-,1780736,1782553
MIDG2331_RS08295,MIDG2331_01695,,glutathione S-transferase family protein,-,1782710,1783327
MIDG2331_RS08300,MIDG2331_01696,lysA,diaminopimelate decarboxylase,-,1783393,1784643
MIDG2331_RS08305,MIDG2331_01698,frdD,fumarate reductase subunit FrdD,-,1785057,1785401
MIDG2331_RS08310,MIDG2331_01699,frdC,fumarate reductase subunit FrdC,-,1785414,1785806
MIDG2331_RS08315,MIDG2331_01700,,succinate dehydrogenase/fumarate reductase iron-sulfur subunit,-,1785815,1786549
MIDG2331_RS08320,MIDG2331_01701,frdA,fumarate reductase (quinol) flavoprotein subunit,-,1786562,1788361
MIDG2331_RS08325,MIDG2331_01702,epmA,elongation factor P--(R)-beta-lysine ligase,+,1788704,1789687
MIDG2331_RS08330,MIDG2331_01703,dapF,diaminopimelate epimerase,-,1789769,1790593
MIDG2331_RS08335,MIDG2331_01704,,anaerobic C4-dicarboxylate transporter,+,1790774,1792096
MIDG2331_RS08340,MIDG2331_01705,,fluoride efflux transporter FluC,-,1792168,1792539
MIDG2331_RS08345,MIDG2331_01706,,MFS transporter,-,1792542,1793606
MIDG2331_RS08350,MIDG2331_01707,,anhydro-N-acetylmuramic acid kinase,+,1793701,1794810
MIDG2331_RS08355,MIDG2331_01708,murQ,N-acetylmuramic acid 6-phosphate etherase,+,1794863,1795777
MIDG2331_RS08360,MIDG2331_01709,prmA,50S ribosomal protein L11 methyltransferase,-,1795844,1796725
MIDG2331_RS08365,MIDG2331_01710,,GNAT family N-acetyltransferase,-,1796808,1797275
MIDG2331_RS08370,MIDG2331_01711,,type II toxin-antitoxin system TacA family antitoxin,-,1797279,1797539
MIDG2331_RS08375,MIDG2331_01712,tldD,metalloprotease TldD,-,1797660,1799120
MIDG2331_RS08380,MIDG2331_01713,tilS,tRNA lysidine(34) synthetase TilS,+,1799250,1800509
MIDG2331_RS08385,MIDG2331_01714,,DUF5389 family protein,-,1800536,1800826
MIDG2331_RS08390,MIDG2331_01715,xerD,site-specific tyrosine recombinase XerD,-,1800828,1801721
MIDG2331_RS08450,MIDG2331_01727,wecG,lipopolysaccharide N-acetylmannosaminouronosyltransferase,-,1808089,1808814
MIDG2331_RS08455,MIDG2331_01728,wzyE,ECA oligosaccharide polymerase,-,1808798,1810135
MIDG2331_RS08460,MIDG2331_01729,,TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase,-,1810132,1811202
MIDG2331_RS08465,MIDG2331_01730,hcp,hydroxylamine reductase,+,1811480,1813135
MIDG2331_RS08470,MIDG2331_01731,hcr,NADH oxidoreductase,+,1813258,1814277
MIDG2331_RS08475,MIDG2331_01732,wzxE,lipid III flippase WzxE,-,1814319,1815569
MIDG2331_RS08480,MIDG2331_01733,rffA,"dTDP-4-amino-4,6-dideoxygalactose transaminase",-,1815557,1816702
MIDG2331_RS08485,MIDG2331_01734,rffC,"dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase",-,1816709,1817332
MIDG2331_RS08490,MIDG2331_01735,wecC,UDP-N-acetyl-D-mannosamine dehydrogenase,-,1817332,1818603
MIDG2331_RS08495,MIDG2331_01736,wecB,non-hydrolyzing UDP-N-acetylglucosamine 2-epimerase,-,1818682,1819818
MIDG2331_RS08500,MIDG2331_01737,,transporter,-,1819802,1820680
MIDG2331_RS08505,MIDG2331_01738,wecA,UDP-N-acetylglucosamine--undecaprenyl-phosphate N-acetylglucosaminephosphotransferase,-,1820715,1821788
MIDG2331_RS08510,MIDG2331_01739,hemL,"glutamate-1-semialdehyde 2,1-aminomutase",+,1822086,1823366
MIDG2331_RS08515,MIDG2331_01740,,MFS transporter,-,1823421,1824488
MIDG2331_RS08520,MIDG2331_01741,murJ,murein biosynthesis integral membrane protein MurJ,-,1824508,1826079
MIDG2331_RS08525,MIDG2331_01742,rpsT,30S ribosomal protein S20,+,1826471,1826734
MIDG2331_RS08530,MIDG2331_01743,trkA,Trk system potassium transporter TrkA,-,1826791,1828167
MIDG2331_RS08535,MIDG2331_01744,rsmB,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,-,1828217,1829515
MIDG2331_RS08540,MIDG2331_01745,selB,selenocysteine-specific translation elongation factor,-,1829529,1831364
MIDG2331_RS08545,MIDG2331_01746,selA,L-seryl-tRNA(Sec) selenium transferase,-,1831361,1832746
MIDG2331_RS08555,MIDG2331_01748,mioC,FMN-binding protein MioC,+,1832923,1833366
